Company,Ticker,Founding Year,,Prospectus link,
LendingTree Inc,TREE,2000,,,1
Vicinity Corp,VCNT,2000,,,1
Convergent Group Corp,CVGP,2000,,,1
Integrated Telecom Express Inc,ITXI,2000,,,1
Ondisplay Inc,ONDS,1999,,,1
America Online Latin America,AOLAQ,2000,,,1
Extreme Networks,EXTR,1999,,0,0
Loudeye Technologies Inc,LOUD,2000,,,1
MyPoints.com Inc,MYPT,1999,,,1
Landacorp Inc,LCOR,2000,,,1
Resonate Inc,RSNT,2000,,,1
Jacada Ltd,JCDAF,1999,,0,0
Next Level Communications,NXTV,1999,,,1
Lexent Inc,3LXNT,2000,,,1
TIBCO Software Inc,TIBX,1999,,0,0
AvantGo Inc,AVGO,2000,,,1
Corillian Corp,CORI,2000,,,1
C-bridge Internet Solutions,CBIS,1999,,,1
ZipLink Inc,ZIPL,1999,,,1
Exult Inc,EXLT,2000,,,1
CrossWorlds Software Inc,CWLD,2000,,,1
Digitas Inc,DTAS,2000,,,1
O2Wireless Solutions Inc,3OTWO,2000,,0,0
Foundry Networks Inc,FDRY,1999,,0,0
Quintus Corp,QNTSQ,1999,,,1
CDW Corp,CDW,2013,,,1
HealthGate Data Corp,HGAT,2000,,,1
Network Engines Inc,NEI,2000,,,1
WorldQuest Networks Inc,WQNI,2000,,0,0
Tricom SA,TRICY,1998,,,1
Internet Initiative Japan Co,IIJIY,1999,,0,0
VIA NET.WORKS Inc,VNWI,2000,,,1
Online Resources & Commun,ORCC,1999,,,1
ARTISTdirect Inc,ARTD,2000,,,1
Cosine Communications Inc,COSN,2000,,,1
Streamline.com Inc,SLNE,1999,,,1
Art Technology Group Inc,ARTG,1999,,,1
Vitaminshoppe.com Inc,VSHP,1999,,,1
Mothernature.com Inc,MTHRZ,1999,,,1
Register.com Inc,RCOM,2000,,,1
West Corporation,WSTC,2013,,,1
Rediff.com India Ltd,REDF,2000,,,1
Datalex PLC,DLEXY,2000,,0,0
Synplicity Inc,SYNP,2000,,,1
Instinet Group LLC,INGP,2001,,0,0
Riverstone Networks,RSTN,2001,,,1
BAM! Entertainment,BFUN,2001,,,1
Simplex Solutions,SPLX,2001,,,1
Riverdeep Interactive Learning,RVDPY,2000,,0,0
Docent Inc,DCNT,2000,,,1
Alliance Data Systems,ADS,2001,,0,0
Student Advantage Inc,3STUA,1999,,,1
Interland Inc,ILND,2000,,,1
Perficient Inc,PRFT,1999,,,1
Synaptics,SY0,2002,,0,0
Lawson Software,LWSN,2001,,,1
Chordiant Software Inc,CHRD,2000,,0,0
Verint Systems,VRNT,2002,,,1
GameStop,GME,2002,,0,0
Netflix,NFLX,2002,,0,0
Computer Programs and Systems,CPSI,2002,,,1
Overstock.com,OSTK,2002,,,1
iPayment,0030B,2003,,,1
Netease.com Inc,NTES,2000,,,1
MTC Technologies,MTCT,2002,,,1
Ctrip.com International,CTRP,2003,,0,0
Sohu.com Inc,SOHU,2000,,0,0
Altiris,ATRS,2002,,0,0
CallWave,CLWA,2004,,0,0
Open Solutions,OPEN,2003,,,1
Shanda Interactive Entertainment,SNDA,2004,,,1
Blue Nile,NILE,2004,,0,0
Planetout,LGBT,2004,,,1
TOM Online,TOMO,2004,,,1
Greenfield Online,SRVY,2004,,,1
Plumtree Software,PLUM,2002,,,1
Provide Commerce Inc,PRVD,2003,,,1
Rightnow Technologies,RNOW,2004,,,1
Google,GOOG,2004,,0,0
salesforce.com,CRM,2004,,0,0
Deltathree Com Inc,DDDC,1999,,,1
Overnite,OVNT,2003,,,1
JAMDAT Mobile,JMDT,2004,,,1
RedEnvelope Inc,REDEQ,2003,,,1
Marchex,MCHX,2004,,,1
NeuStar,NSR,2005,,,1
NAVTEQ,NVT,2004,,,1
Heartland Payment Systems,HPY,2005,,,1
Blackbaud,BLKB,2004,,0,0
eLong,LONG,2004,,,1
InPhonic,INPC,2004,,,1
HouseValues,SOLD,2004,,0,0
VarsityBooks.com Inc,VSTY,2000,,0,0
SSA Global Technologies,SSAG,2005,,,1
InterVideo,IVII,2003,,,1
Unica,UNCA,2005,,,1
Fastclick,FSTC,2005,,,1
The9 Limited,NCTY,2004,,,1
WebSideStory,WSSI,2004,,,1
Shopping.com,SHOP,2004,,,1
Kintera,KNTA,2003,,,1
Taleo,TLEO,2005,,0,0
DexCom,DXCM,2005,posted 2018,,1
Snap ,,,,https://www.sec.gov/Archives/edgar/data/0001564408/000119312517068848/d270216d424b4.htm,1
MuleSoft ,,,,https://www.sec.gov/Archives/edgar/data/0001374684/000119312517086142/d287291d424b4.htm,1
Alteryx ,,,,https://www.sec.gov/edgar/browse/?CIK=1689923&owner=exclude,1
Okta,,,,https://www.sec.gov/Archives/edgar/data/0001660134/000119312517116256/d289173d424b4.htm,1
Netshoes (Cayman) Ltd. ,,,,https://www.sec.gov/Archives/edgar/data/0001562767/000119312517122978/d267741d424b4.htm,1
Yext,,,,https://www.sec.gov/Archives/edgar/data/0001614178/000104746917002593/a2231805z424b4.htm,1
Cloudera ,,,,https://www.sec.gov/Archives/edgar/data/0001535379/000162828017004450/cloudera424b4.htm,1
Veritone ,,,,https://www.sec.gov/Archives/edgar/data/0001615165/000119312517347119/d442554d424b4.htm,1
Appian ,,,,https://www.sec.gov/Archives/edgar/data/0001441683/000119312517184928/d363139d424b4.htm,1
Tintri ,,,,https://www.sec.gov/Archives/edgar/data/0001554875/000119312517218898/d120560d424b4.htm,1
Despegar.com ,,,,https://www.sec.gov/Archives/edgar/data/0001703141/000119312517289493/d425250d424b4.htm,1
Secoo Holding Limited ,,,,https://www.sec.gov/Archives/edgar/data/0001633441/000104746917006032/a2233348z424b4.htm,1
CarGurus ,,,,,0
MongoDB ,,,,https://www.sec.gov/Archives/edgar/data/0001441816/000104746917006446/a2233574z424b4.htm,1
Sea Limited ,,,,,0
ForeScout Technologies ,,,,https://www.sec.gov/Archives/edgar/data/0001145057/000162828018003406/forescout424b4.htm,1
SendGrid ,,,,https://www.sec.gov/Archives/edgar/data/0001477425/000104746917007093/a2233849z424b4.htm,1
SailPoint Technologies Holdings ,,,,https://www.sec.gov/Archives/edgar/data/0001627857/000119312517347117/d392110d424b4.htm,1
Stitch Fix ,,,,https://www.sec.gov/Archives/edgar/data/0001576942/000119312517346936/d400510d424b4.htm,1
Landcadia Holdings ,,,,https://www.sec.gov/Archives/edgar/data/0001844642/000110465921042547/tm216265-8_424b4.htm,1
Twilio,,,,https://www.sec.gov/Archives/edgar/data/0001447669/000104746916013968/a2229005z424b4.htm,1
Monster Digital ,,,,,0
LINE Corporation ,,,,https://www.sec.gov/Archives/edgar/data/0001611820/000119312516645428/d728446d424b4.htm,1
Talend SA ,,,,https://www.sec.gov/Archives/edgar/data/0001668105/000104746916014531/a2229299z424b4.htm,1
Everbridge,,,,https://www.sec.gov/Archives/edgar/data/0001437352/000119312516711735/d16274d424b4.htm,1
The Trade Desk ,,,,,0
Apptio,,,,https://www.sec.gov/Archives/edgar/data/0001419625/000119312516717579/d76087d424b4.htm,1
Gridsum ,,,,https://www.sec.gov/Archives/edgar/data/0001647338/000104746916015666/a2229804z424b4.htm,1
Nutanix,,,,https://www.sec.gov/Archives/edgar/data/0001618732/000119312516727084/d937439d424b4.htm,1
Coupa Software ,,,,https://www.sec.gov/Archives/edgar/data/0001385867/000119312516732016/d144637d424b4.htm,1
BlackLine ,,,,https://www.sec.gov/Archives/edgar/data/0001666134/000119312516751645/d215001d424b4.htm,1
trivago N.V. ,,,,https://www.sec.gov/Archives/edgar/data/0001683825/000119312516795038/d246736d424b4.htm,1
Box,,,,https://www.sec.gov/Archives/edgar/data/0001372612/000119312515018043/d642425d424b4.htm,1
Inovalon Holdings ,,,,https://www.sec.gov/Archives/edgar/data/0001619954/000104746915000755/a2223044z424b4.htm,1
GoDaddy ,,,,https://www.sec.gov/Archives/edgar/data/0001609711/000119312518068899/d518960d424b7.htm#supptoc518960_5,1
Etsy ,,,,https://www.sec.gov/Archives/edgar/data/0001370637/000119312515132943/d806992d424b4.htm,1
Apigee  ,,,,https://www.sec.gov/Archives/edgar/data/0001324772/000119312515146388/d804501d424b4.htm,1
Shopify ,,,,https://www.sec.gov/Archives/edgar/data/0001594805/000119312515195802/d925168d424b4.htm,1
Fitbit  ,,,,,0
MINDBODY ,,,,https://www.sec.gov/Archives/edgar/data/0001458962/000119312517183695/d379894d424b4.htm,1
Alarm.com Holdings  ,,,,,0
AppFolio ,,,,https://www.sec.gov/Archives/edgar/data/0001433195/000119312515235916/d907976d424b4.htm,1
Xactly  ,,,,https://www.sec.gov/Archives/edgar/data/0001322554/000119312515235926/d685408d424b4.htm,1
Rapid7 ,,,,https://www.sec.gov/Archives/edgar/data/0001560327/000119312515255115/d908531d424b4.htm,1
Instructure ,,,,https://www.sec.gov/Archives/edgar/data/0001355754/000119312518048767/d511623d424b5.htm#rom511623_2,1
Match Group ,,,,https://www.sec.gov/Archives/edgar/data/0000891103/000104746920003514/a2241844z424b2.htm#ca76701_about_this_prospectus_supplement,1
Square,,,,,0
Atlassian Corporation Plc ,,,,https://www.sec.gov/Archives/edgar/data/0001650372/000104746915009143/a2226831z424b4.htm,1
Care.com ,,,,,0
COUPONS.com ,,,,,0
Q2 Holdings ,,,,https://www.sec.gov/Archives/edgar/data/0001410384/000104746914002671/a2219150z424b4.htm,1
Amber Road ,,,,https://www.sec.gov/Archives/edgar/data/0001314223/000119312514112390/d562552d424b4.htm,1
Borderfree ,,,,https://www.sec.gov/Archives/edgar/data/0001277141/000119312514110495/d558096d424b4.htm,1
King Digital Entertainment plc   (KING),,,,https://www.sec.gov/Archives/edgar/data/0001580732/000119312514117078/d564433d424b4.htm,1
TriNet Group   ,,,,https://www.sec.gov/Archives/edgar/data/0000937098/000119312514340524/d753999d424b4.htm,1
Five9 ,,,,,0
Grubhub   ,,,,,0
Opower ,,,,https://www.sec.gov/Archives/edgar/data/0001412043/000119312514130567/d620747d424b4.htm,1
Paycom Software ,,,,https://www.sec.gov/Archives/edgar/data/0001590955/000119312514144373/d609623d424b4.htm,1
Zendesk ,,,,,0
TrueCar ,,,,https://www.sec.gov/Archives/edgar/data/0001327318/000104746914004991/a2220219z424b4.htm,1
Mobile Iron  ,,,,,0
TubeMogul ,,,,https://www.sec.gov/Archives/edgar/data/0001449278/000119312514272383/d658316d424b4.htm,1
CyberArk Software ,,,,https://www.sec.gov/Archives/edgar/data/0001598110/000119312514350723/d692893d424b4.htm,1
Wayfair  ,,,,,0
Yodlee  ,,,,https://www.sec.gov/Archives/edgar/data/0001161315/000119312514363253/d784989d424b1.htm,1
HubSpot ,,,,https://www.sec.gov/Archives/edgar/data/0001404655/000119312514367174/d697256d424b4.htm,1
Upland Software ,,,,https://www.sec.gov/Archives/edgar/data/0001505155/000119312514401545/d710680d424b4.htm,1
Cnova N.V.  ,,,,https://www.sec.gov/Archives/edgar/data/0001609653/000104746914009472/a2222311z424b4.htm,1
New Relic   ,,,,https://www.sec.gov/Archives/edgar/data/0001448056/000119312514441418/d709327d424b4.htm,1
Workiva ,,,,https://www.sec.gov/Archives/edgar/data/0001445305/000144530514005499/workivafinalprospectus.htm,1
500.com Ltd  ,,,,,0
58.com ,,,,https://www.sec.gov/Archives/edgar/data/0001525494/000104746913010132/a2217234z424b4.htm,1
Barracuda Networks   ,,,,,0
CDW Corp  ,,,,https://www.sec.gov/Archives/edgar/data/0001402057/000119312513442145/d624530d424b4.htm#toc624530_7,1
ChannelAdvisor ,,,,https://www.sec.gov/Archives/edgar/data/0001169652/000119312513232292/d419074d424b4.htm#toc453084_1,1
Chegg ,,,,https://www.sec.gov/Archives/edgar/data/0001364954/000136495417000167/cheggfinalprospectus.htm,1
Covisint ,,,,https://www.sec.gov/Archives/edgar/data/0001563699/000119312513379084/d582155d424b4.htm#tx582155_1,1
Criteo S.A.  ,,,,https://www.sec.gov/Archives/edgar/data/0001576427/000119312513416937/d541385d424b4.htm,1
Cvent  ,,,,https://www.sec.gov/Archives/edgar/data/0001122897/000119312513327950/d520989d424b1.htm,1
Endurance International Group Holdings ,,,,https://www.sec.gov/Archives/edgar/data/0001237746/000119312513410787/d555515d424b4.htm,1
FireEye ,,,,,0
Gigamon ,,,,https://www.sec.gov/Archives/edgar/data/0001484504/000119312513255369/d342799d424b4.htm,1
Gogo ,,,,,0
Intelsat S.A.   ,,,,https://www.sec.gov/Archives/edgar/data/0001525773/000119312513160333/d514954d424b4.htm,1
"LightInTheBox Holding Co., Ltd.   ",,,,https://www.sec.gov/Archives/edgar/data/0001523836/000104746913006796/a2215574z424b4.htm,1
Liquid Holdings Group ,,,,https://www.sec.gov/Archives/edgar/data/0001562594/000119312513304587/d484709d424b4.htm,1
Luxoft Holding ,,,,https://www.sec.gov/Archives/edgar/data/0001538375/000104746913007221/a2215754z424b4.htm,1
Marin Software ,,,,https://www.sec.gov/Archives/edgar/data/0001389002/000119312513122202/d450382d424b4.htm,1
Marketo ,,,,https://www.sec.gov/Archives/edgar/data/0001490660/000104746913006257/a2215331z424b4.htm,1
MedWorth Acquisition ,,,,,0
Model N ,,,,https://www.sec.gov/Archives/edgar/data/0001118417/000119312513117282/d433338d424b4.htm,1
Montage Technology Group ,,,,https://www.sec.gov/Archives/edgar/data/0001375514/000119312513379972/d502332d424b4.htm,1
Nimble Storage  ,,,,https://www.sec.gov/Archives/edgar/data/0001452751/000119312513472980/d563804d424b4.htm,1
Professional Diversity Network ,,,,https://www.sec.gov/Archives/edgar/data/0001546296/000114420415023618/v407566_424b2.htm#t6TO,1
QIWI plc  ,,,,https://www.sec.gov/Archives/edgar/data/0001561566/000119312513386259/d595020d424b1.htm,1
Qunar Cayman Islands Ltd.   ,,,,https://www.sec.gov/Archives/edgar/data/0001551060/000119312513423123/d360161d424b4.htm#rom360161_30,1
Rally Software Development ,,,,https://www.sec.gov/Archives/edgar/data/0001313911/000104746913004318/a2214381z424b4.htm,1
RetailMeNot ,,,,https://www.sec.gov/Archives/edgar/data/0001475274/000119312513294853/d498394d424b4.htm,1
RingCentral ,,,,https://www.sec.gov/Archives/edgar/data/0001384905/000119312519291123/d760933d424b3.htm#supprom760933_4,1
Rocket Fuel   ,,,,https://www.sec.gov/Archives/edgar/data/0001477200/000104746914000497/a2218130z424b4.htm,1
Tableau Software ,,,,,0
Textura   ,,,,,0
Twitter  ,,,,,0
Veeva Systems ,,,,,0
Violin Memory ,,,,https://www.sec.gov/Archives/edgar/data/0001407190/000119312513382136/d366503d424b4.htm,1
West Corporation ,,,,https://www.sec.gov/Archives/edgar/data/0001024657/000119312511194548/d424b3.htm,1
Wix.com Ltd.  ,,,,https://www.sec.gov/Archives/edgar/data/0001576789/000119312513431328/d541565d424b4.htm,1
zulily ,,,,https://www.sec.gov/Archives/edgar/data/0001478484/000119312513443794/d552850d424b4.htm,1
AVG Technologies N.V. ,,,,https://www.sec.gov/Archives/edgar/data/0001528903/000119312512036826/d218946d424b4.htm,1
Bazaarvoice ,,,,https://www.sec.gov/Archives/edgar/data/0001330421/000119312512076769/d213580d424b4.htm,1
Brightcove ,,,,https://www.sec.gov/Archives/edgar/data/0001313275/000119312512066175/d200370d424b4.htm,1
CafePress ,,,,https://www.sec.gov/Archives/edgar/data/0001117733/000119312512138490/d187703d424b4.htm,1
Demandware ,,,,https://www.sec.gov/Archives/edgar/data/0001301031/000119312512115511/d199710d424b4.htm,1
E2open ,,,,https://www.sec.gov/Archives/edgar/data/0001540400/000119312514019415/d608790d424b4.htm,1
Eloqua Limited ,,,,https://www.sec.gov/Archives/edgar/data/0001375271/000095012312010808/w83941b4e424b4.htm,1
Envivio ,,,,https://www.sec.gov/Archives/edgar/data/0001174266/000119312512180187/d172342d424b4.htm,1
EPAM Systems ,,,,https://www.sec.gov/Archives/edgar/data/0001352010/000119312512049539/d192955d424b4.htm,1
Exa Corporation ,,,,https://www.sec.gov/Archives/edgar/data/0000890264/000119312512286438/d214313d424b4.htm,1
ExactTarget  ,,,,https://www.sec.gov/Archives/edgar/data/0001420850/000119312512388723/d377364d424b4.htm,1
Facebook ,,,,,0
FleetMatics Group plc ,,,,https://www.sec.gov/Archives/edgar/data/0001526160/000119312513301559/d552410d424b4.htm,1
Guidewire Software ,,,,https://www.sec.gov/Archives/edgar/data/0001528396/000119312518073570/d492244d424b5.htm,1
Infoblox ,,,,https://www.sec.gov/Archives/edgar/data/0001223862/000119312512173439/d240760d424b4.htm,1
KAYAK Software ,,,,https://www.sec.gov/Archives/edgar/data/0001312928/000119312512308031/d117777d424b4.htm,1
LifeLock ,,,,https://www.sec.gov/Archives/edgar/data/0001383871/000119312512413143/d361263d424b4.htm,1
Millennial Media ,,,,https://www.sec.gov/Archives/edgar/data/0001372375/000104746912003489/a2208584z424b4.htm,1
Proofpoint ,,,,https://www.sec.gov/Archives/edgar/data/0001212458/000104746912004531/a2208993z424b4.htm,1
Qualys ,,,,https://www.sec.gov/Archives/edgar/data/0001107843/000119312512407520/d355355d424b4.htm,1
Ruckus Wireless  ,,,,https://www.sec.gov/Archives/edgar/data/0001294016/000119312512473220/d358896d424b4.htm,1
ServiceNow  ,,,,https://www.sec.gov/Archives/edgar/data/0001373715/000119312520213514/d910845d424b5.htm,1
Shutterstock ,,,,https://www.sec.gov/Archives/edgar/data/0001549346/000104746912009429/a2211336z424b4.htm,1
Splunk ,,,,https://www.sec.gov/Archives/edgar/data/0001353283/000110465914003622/a14-3917_1424b4.htm,1
Synacor ,,,,https://www.sec.gov/Archives/edgar/data/0001408278/000119312517114910/d370167d424b5.htm,1
Trulia ,,,,https://www.sec.gov/Archives/edgar/data/0001349454/000119312512397566/d352334d424b4.htm,1
Vantiv ,,,,,0
Workday ,,,,https://www.sec.gov/Archives/edgar/data/0001327811/000110465922041178/tm228176-6_424b5.htm,1
Yelp!  ,,,,,0
YY Inc. ,,,,https://www.sec.gov/Archives/edgar/data/0001530238/000119312512478871/d222007d424b4.htm,1
InterXion Holding N.V.  ,,,,https://www.sec.gov/Archives/edgar/data/0001500866/000119312519185974/d762363d424b5.htm,1
Cornerstone OnDemand ,,,,,0
Ellie Mae ,,,,https://www.sec.gov/Archives/edgar/data/0001122388/000119312512287830/d363616d424b5.htm,1
Responsys ,,,,https://www.sec.gov/Archives/edgar/data/0001084817/000119312511105013/d424b4.htm,1
Boingo Wireless ,,,,https://www.sec.gov/Archives/edgar/data/0001169988/000104746911004582/a2203889z424b4.htm,1
FriendFinder Network ,,,,https://www.sec.gov/Archives/edgar/data/0001451951/000139843211000443/d28208.htm,1
Bankrate,,,,https://www.sec.gov/Archives/edgar/data/0001080866/000114420406018659/v042187424b5.htm,1
LinkedIn ,,,,https://www.sec.gov/Archives/edgar/data/0001271024/000119312511314967/d250692d424b4.htm,1
Yandex N.V. ,,,,https://www.sec.gov/Archives/edgar/data/0001513845/000104746911005463/a2204298z424b1.htm,1
Active Network (The) ,,,,https://www.sec.gov/Archives/edgar/data/0001163932/000119312511149600/d424b4.htm,1
Pandora Media ,,,,https://www.sec.gov/Archives/edgar/data/0001230276/000119312518175240/d591674d424b7.htm,1
HomeAway ,,,,https://www.sec.gov/Archives/edgar/data/0001366684/000119312513471808/d640367d424b4.htm,1
Zillow  ,,,,https://www.sec.gov/Archives/edgar/data/0001334814/000119312512385126/d391204d424b5.htm,1
Tangoe ,,,,https://www.sec.gov/Archives/edgar/data/0001182325/000104746912003569/a2208596z424b1.htm,1
Carbonite ,,,,https://www.sec.gov/Archives/edgar/data/0001340127/000119312518221640/d497815d424b5.htm,1
Groupon ,,,,https://www.sec.gov/Archives/edgar/data/0001490281/000119312514003637/d654703d424b4.htm,1
Imperva ,,,,https://www.sec.gov/Archives/edgar/data/0001364962/000119312511303228/d189646d424b1.htm,1
Angieâ€™s List  ,,,,,0
Jive Software  ,,,,https://www.sec.gov/Archives/edgar/data/0001462633/000119312511339396/d211300d424b4.htm,1
Zynga  ,,,,,0
QuinStreet ,,,,,0
SS&C Technologies Holdings ,,,,https://www.sec.gov/Archives/edgar/data/0001402436/000156459019007040/ssnc-424b7.htm#RISK_FACTORS,1
SPS Commerce ,,,,https://www.sec.gov/Archives/edgar/data/0001092699/000095012310036986/c54716b4e424b4.htm,1
Convio ,,,,,0
ReachLocal ,,,,https://www.sec.gov/Archives/edgar/data/0001297336/000119312510124685/d424b4.htm,1
BroadSoft ,,,,https://www.sec.gov/Archives/edgar/data/0001086909/000095012310058513/w77389b4e424b4.htm,1
Higher One Holdings ,,,,,0
Motricity ,,,,https://www.sec.gov/Archives/edgar/data/0001336691/000119312510142586/d424b4.htm,1
Envestnet ,,,,,0
Qlink Technologies ,,,,,0
Camelot Information Systems ,,,,https://www.sec.gov/Archives/edgar/data/0001487295/000095012310066682/h03859b4e424b4.htm,1
MakeMyTrip Limited ,,,,https://www.sec.gov/Archives/edgar/data/0001495153/000095012310076503/h04091fe424b1.htm,1
RealPage ,,,,https://www.sec.gov/Archives/edgar/data/0001286225/000119312520147858/d934510d424b5.htm,1
SciQuest ,,,,https://www.sec.gov/Archives/edgar/data/0001082526/000119312514117129/d669382d424b5.htm#supprom669382_4,1
GAIN Capital Holdings Inc,,,,,0
SolarWinds ,,,,https://www.sec.gov/Archives/edgar/data/0001739942/000162828018012713/solarwinds424b4.htm,1
OpenTable ,,,,https://www.sec.gov/Archives/edgar/data/0001125914/000104746909005875/a2193211z424b1.htm#cg41301_the_offering,1
Medidata Solutions ,,,,,0
LogMeIn ,,,,,0
Emdeon ,,,,https://www.sec.gov/Archives/edgar/data/0001552516/000119312512398591/d362823d424b3.htm,1
CDC Software ,,,,https://www.sec.gov/Archives/edgar/data/0001415841/000119312509166605/d424b4.htm,1
Vitacost.com ,,,,,0
Ancestry.com ,,,,https://www.sec.gov/Archives/edgar/data/0001575319/000119312513304811/d533868d424b3.htm#rom533868_1,1
Fortinet ,,,,https://www.sec.gov/Archives/edgar/data/0001262039/000119312521057063/d122726d424b5.htm,1
Archipelago Learning ,,,,https://www.sec.gov/Archives/edgar/data/0001470699/000095012309064909/d68999b4e424b4.htm,1